ID,name_en,name_cz,src_en,src_cz,desc_cz,desc_en,common,hard,hard_tol,spgrav,spgrav_tol,color,group_id,formula,test
236,Franklinite,Franklinit,,https://cs.wikipedia.org/wiki/Franklinit,,,1,6.25,0.25,,0,černá,4,"(Zn,Mn,Fe)2+(Fe,Mn)3+2O4",
237,Francolite,Frankolit,,,,,0,,0,,0,,5,,
238,Franzinite,Franzinit,,,,,0,,0,,0,,8,,
239,Freibergite,Freibergit,,,,,0,,0,,0,,2,,
240,Freieslebenit,Freieslebenit,,,,,0,,0,,0,,2,,
241,Friedrichit,Friedrichit,,,,,0,,0,,0,,2,,
242,Gadolinite,Gadolinit,,https://cs.wikipedia.org/wiki/Gadolinit-(Ce),,,1,6.75,0.25,,0,"černá, zelenočerná...",8,Y2Fe2+Be2Si2O10,
243,Galena,Galenit,,,,,0,2.625,0.125,,0,kovově lesklý,2,PbS,
244,Garnierit,Garnierit,,,,,0,,0,,0,,8,,
245,Gedrit,Gedrit,,,,,0,,0,,0,,8,,
246,Gehlenite,Gehlenit,,,,,0,,0,,0,,8,,
247,Georgia ten,Georgiadesit,,,,,0,,0,,0,,7,,
248,Germanite,Germanit,,,,,0,,0,,0,,2,,
249,Gersdorffit,Gersdorffit,,,,,0,,0,,0,,2,NiAsS,
250,Gibbsite,Gibbsit,,,,,0,,0,,0,,4,Al(OH)3,
251,Gilbertite,Gilbertit,,,,,0,,0,,0,,8,,
252,Gismondin,Gismondin,,,,,0,,0,,0,,8,,
253,Glauberite,Glauberit,,,,,0,,0,,0,,6,,
254,Glaucodot,Glaukodot,,,,,0,,0,,0,,2,,
255,Glaucophane,Glaukofán,,,,,0,,0,,0,,8,,
256,Glaukokernite,Glaukokernit,,,,,0,,0,,0,,6,,
257,Glauconite,Glaukonit,,,,,0,,0,,0,,8,,
258,Glossary,Glosulár,,,,,0,,0,,0,,8,,
259,Gmelinite,Gmelinit,,,,,0,,0,,0,,8,,
260,Goethite,Goethit,,https://cs.wikipedia.org/wiki/Goethit,,,1,5.25,0.25,,0,hnědá až černá,4,α-Fe3+O(OH),
261,Gonnardite,Gonnardit,,,,,0,,0,,0,,8,,
262,Goosecreekite,Goosecreekit,,,,,0,,0,,0,,8,,
263,Gorceixite,Gorceixit,,,,,0,,0,,0,,7,,
264,Goyazit,Goyazit,,,,,0,,0,,0,,7,,
265,Graphite,Grafit,,https://cs.wikipedia.org/wiki/Grafit,,,1,1.5,0.5,,0,černá až šedá,1,C,
