ID,aplikace,portable,platform,firma,web,popis,verze,kategorie,licence,testfield,aktualizovat
197,Shutter,,lnx,,http://shutter-project.org/downloads/,screenshot,,,,,0
198,RabbitMQ,,uni,,http://www.rabbitmq.com/download.html,message broker,,,,,0
199,k2PDFopt,,uni,,http://willus.com/k2pdfopt/download/,ebook converter,,1,,,0
200,Beekeper,,lnx,,https://www.beekeeperstudio.io/,database client,,8,,,0
201,TexitEasy,,uni,,https://texiteasy.com/,LaTex editor,,1,,,0
202,Jobber,,lnx,,https://dshearer.github.io/jobber/,cron,,,,,0
203,Opensnitch,,lnx,,https://www.opensnitch.io/,firewall,,,,,0
204,Dibuja,,lnx,,https://launchpad.net/dibuja,painting,,2,,,0
205,Paint,,win,Microsoft,https://en.wikipedia.org/wiki/Microsoft_Paint,painting,,2,,,0
206,OpenModelica,,uni,,https://www.openmodelica.org/,modelling,,4,,,0
207,Qjackrcd,,lnx,,https://github.com/orouits/qjackrcd,sound recording,,2,,,0
208,Bookworm,,lnx,,https://babluboy.github.io/bookworm/,ebook reader,,1,,,0
209,Gradio,,lnx,,https://github.com/haecker-felix/gradio,radio listen,,2,,,0
210,Persepolis,,lnx,,https://github.com/persepolisdm/persepolis,download manager,,5,,,0
211,lshw,,lnx,,https://www.ezix.org/project/wiki/HardwareLiSter,hardware list,,4,,,0
212,keepass,,uni,,https://www.keepassx.org/,password manager,,7,,,0
213,fuse-exfat,,lnx,,https://github.com/relan/exfat,access fat partitions,,,,,0
214,GifTuna,,uni,,http://giftuna.io/,GIF animator,,,,,0
215,Qvge,,lnx,,https://sourceforge.net/projects/qvge/,graphing,,,,,0
216,Lybniz,,uni,,https://github.com/thomasfuhringer/lybniz,graphing,,,,,0
217,krop,,uni,,http://arminstraub.com/software/krop,pdf editor,,1,,,0
218,Pencil2D,,uni,,https://www.pencil2d.org/,painting,,2,,,0
219,Glosbit,,uni,,https://github.com/dimkard/glosbit,translator,,,,,0
220,Privacy Badger,,uni,,https://www.eff.org/privacybadger,antispy,,,,,0
221,Alduin,,uni,,https://alduinapp.github.io/,RSS reader,,2,,,0
222,GLnemo 3D,,lnx,,https://projets.lam.fr/projects/glnemo2,3D,,,,,0
223,GetIt,,lnx,,https://getit.bartkessels.net/,API,,,,,0
224,gotop,,lnx,,https://github.com/cjbassi/gotop,process monitor,,,,,0
225,Glasswire,,win,,https://www.glasswire.com/,network monitor,,4,,,0
226,Transity,,lnx,,https://github.com/feramhq/transity,account,,,,,0
227,VVAVE,,lnx,,https://vvave.kde.org/,music search,,2,,,0
228,Radiotray lite,,lnx,,https://github.com/thekvs/radiotray-lite,radio player,,2,,,0
229,WP-CLI,,lnx,,https://wp-cli.org/,WordPress command line,,,,,0
230,SimpleConvert,,uni,,https://github.com/bartkessels/simpleconvert,multimedia converter,,2,,,0
231,DBeaver,1,uni,,https://dbeaver.io/download/,database client,,8,,,1
232,Gravit Designer,,uni,,https://gravit.io/,Graphic editor,,2,,,0
233,CPU-X,,lnx,,https://x0rg.github.io/CPU-X/,hardware info,,4,,,0
234,Winds,,uni,,https://github.com/getstream/winds/,RSS podcasts,,,,,0
235,Tmount,,lnx,,https://github.com/abwaldner/tmount,mounting,,,,,0
236,ucvk,,uni,,https://ycnmhd.github.io/ucvk/,unicode virtual keyboard,,,,,0
237,bbfreeze,,uni,,https://github.com/schmir/bbfreeze,python compiler,,,,,0
238,Free Hash Checker,,uni,,https://sourceforge.net/projects/free-hash-checker/,hash checker,,,,,0
239,PosteRazor,,uni,,http://posterazor.sourceforge.net/index.php?page=news,pdf editor,,1,,,0
240,OpenRefine,,uni,,http://openrefine.org/download.html,ETL,,8,,,0
