ID,name_lat,alts,name_cz,name_sk,Nazev_lidovy,Celed,Vyznam,Obrazek,Botanik_char,Oblast,Narok_char,Sklizen_uprava,Uziti,Uzitek,Typ,Barva,Temp
1921,Matthiola longipetala (Vent.) DC.,,fiala dlouhoplátečná,,,Brassicaceae,0,,,,,,,,,,Brassicaceae
1922,Matthiola longipetala subsp. longipetala,,fiala dlouhoplátečná pravá,,,Brassicaceae,0,,,,,,,,,,Brassicaceae
1923,Medicago arabica (L.) Huds.,,tolice arabská,,,Fabaceae,0,,,,,,,,,,Fabaceae
1924,Medicago disciformis DC.,,tolice terčoplodá,,,Fabaceae,0,,,,,,,,,,Fabaceae
1925,Medicago falcata L. ,Syn.: Medicago sativa subsp. falcata (L.) Arcang.,tolice srpovitá,,,Fabaceae,0,,,,,,,,,,Fabaceae
1926,Medicago minima (L.) L.,,tolice nejmenší,,,Fabaceae,0,,,,,,,,,,Fabaceae
1927,Medicago orbicularis (L.) Bartal.,,tolice okrouhloplodá,,,Fabaceae,0,,,,,,,,,,Fabaceae
1928,Medicago polymorpha L. ,,tolice mnohotvará,,,Fabaceae,0,,,,,,,,,,Fabaceae
1929,Medicago prostrata Jacq. ,,tolice rozprostřená,,,Fabaceae,0,,,,,,,,,,Fabaceae
1930,Medicago rigidula (L.) All.,,tolice přitvrdlá,,,Fabaceae,0,,,,,,,,,,Fabaceae
1931,Medicago sativa L. ,,tolice setá (vojtěška),,,Fabaceae,0,,,,,,,,,,Fabaceae
1932,Medicago ´varia Martyn (M. falcata ´ M. sativa) ,,tolice měňavá,,,Fabaceae,0,,,,,,,,,,Fabaceae
1933,Melampyrum arvense L.,,černýš rolní,,,Orobanchaceae,0,,,,,,,,,#800080,Orobanchaceae
1934,Melampyrum bohemicum A. Kern.,Syn.: Melampyrum fallax Čelak.,černýš český,,,Orobanchaceae,0,,,,,,,,,,Orobanchaceae
1935,Melampyrum cristatum L.,,černýš hřebenitý,,,Orobanchaceae,0,,,,,,,,,,Orobanchaceae
1936,Melampyrum cristatum var. cristatum,,černýš hřebenitý pravý,,,Orobanchaceae,0,,,,,,,,,,Orobanchaceae
1937,Melampyrum cristatum var. solstitiale (Ronniger) Maly,,černýš hřebenitý časný,,,Orobanchaceae,0,,,,,,,,,,Orobanchaceae
