ID,AN,ZN,CZ,EN,LA,Typ,Conf,OxSt,Clark,BT,BT_tol,BV,BV_tol,DN,Hust,Stav,Vaha,Elneg,Skup,Perio,Izotop,Objev
41,41,Nb,Niob,Niobium,Niobium,,[Kr],"0,1,2,3,4,5",20,2468,10,4742,,,,(s),92.90638,1.2,5b,5,,1801
42,42,Mo,Molybden,Molybdenium,Molybdenium,,[Kr],"0,2,3,4,5,6",1,2617,,4612,,,,(s),95.96,1.3,6b,5,,1778
43,43,Tc,Technecium,Technetium,Technetium,rad,[Kr],"0,4,6,7",,2172,,4877,,,,(s),98,1.4,7b,5,,1937
44,44,Ru,Ruthenium,Ruthenium,Ruthenium,,[Kr],"0,1,2,3,4,5,6,7,8",,2310,,3900,,,,(s),101.07,1.4,8b,5,,1844
45,45,Rh,Rhodium,Rhodium,Rhodium,,[Kr],"0,2,3,4,6",,1965,3,3727,100,,,(s),102.9055,1.4,8b,5,,1804
46,46,Pd,Palladium,Palladium,Palladium,,[Kr],"0,2,3,4","0,01",1554,,3140,,,,(s),106.42,1.3,8b,5,,1803
47,47,Ag,Stříbro,Argentum,Argentum,,[Kr],"0,1,2","0,07",961.9299999999998,,2212,,,,(s),107.86819999999999,1.4,1b,5,,
48,48,Cd,Kadmium,Cadmium,Cadmium,,[Kr],"0,2","0,1",320.8999999999999,,765,,,,(s),112.411,1.5,2b,5,,1817
49,49,In,Indium,Indium,Indium,,[Kr],"1,3","0,2",156.61,,2080,,,,(s),114.818,1.5,3a,5,,1863
50,50,Sn,Cín,Stanum,Stannum,,[Kr],"(-4),0,2,4",2,231.9681,,2270,,,,(s),118.71,1.7,4a,5,,
51,51,Sb,Antimon,Stibium,Stibium,,[Kr],"-3,0,3,5","0,4",631,,1750,,,6690,(s),121.76,1.8,5a,5,,
52,52,Te,Telur,Tellurium,Tellurium,,[Kr],"-2,0,4,6","0,001",449.5,,989.8,3.8,,,(s),127.6,2,6a,5,,1782
53,53,I,Jód,Jodum,Jodum,,[Kr],"-1,0,1,3,5,7","0,4",113.5,,184.35,,,,(s),126.90447,2.1,7a,5,,1811
54,54,Xe,Xenon,Xenon,Xenon,,4d10-5s2-5p6,0,,111.9,,-107,3,,,(g),131.29300000000003,,8a,5,,1898
55,55,Cs,Cesium,Caesium,Caesium,,[Xe],"0,1",3,28.4,,669.3,,,,(s),132.9054519,0.86,1a,6,,1860
56,56,Ba,Baryum,Baryum,Baryum,,[Xe],"0,2",500,725,,1640,,,3760,(s),137.327,0.9699999999999999,2a,6,,1774
57,57,La,Lanthan,Lanthanum,Lanthanum,,[Xe],"0,3",29,920,5,3454,,,,(s),138.90547,1.1,3b,6,,1839
58,58,Ce,Cer,Cerium,Cerium,,[Xe],"3,4",70,798,2,3257,,,,(s),140.116,1.1,La,6,,1803
59,59,Pr,Praseodym,Praseodymium,Praseodymium,,[Xe],"3,4",9,931,4,3212,,,,(s),140.90764999999996,1.1,La,6,,1885
60,60,Nd,Neodym,Neodymium,Neodymium,,[Xe],3,30,1010,,3127,,,,(s),144.24199999999996,1.1,La,6,,1885
61,61,Pm,Promethium,Promethium,Promethium,rad,[Xe],3,,1080,,2460,,,,(s),145,1.1,La,6,,1945
62,62,Sm,Samarium,Samarium,Samarium,,[Xe],"2,3",7,1072,5,1778,,,,(s),150.36,1.1,La,6,,1879
63,63,Eu,Europium,Europium,Europium,,[Xe],"2,3","1,3",822,5,1597,,,,(s),151.964,1.1,La,6,,1901
64,64,Gd,Gadolinium,Gadolinium,Gadolinium,,[Xe],3,7,1311,4,3233,,,,(s),157.25,1.1,La,6,,1880
65,65,Tb,Terbium,Terbium,Terbium,,[Xe],"3,4",4,1360,4,3041,,,,(s),158.92535,1.1,La,6,,1843
66,66,Dy,Dysprosium,Dysprosium,Dysprosium,,[Xe],3,4,1409,,2335,,,,(s),162.50010000000003,1.1,La,6,,1886
67,67,Ho,Holmium,Holmium,Holmium,,[Xe],3,1,1470,,2720,,,,(s),164.93031999999997,1.1,La,6,,1879
68,68,Er,Erbium,Erbium,Erbium,,[Xe],3,3,1522,,2510,,,,(s),167.259,1.1,La,6,,1843
69,69,Tm,Thulium,Thulium,Thulium,,[Xe],3,"0,3",1545,15,1727,,,,(s),168.93421000000004,1.1,La,6,,1879
70,70,Yb,Yterbium,Yterbium,Yterbium,,[Xe],"2,3","0,3",824,5,1193,,,,(s),173.054,1.1,La,6,,1907
71,71,Lu,Lutecium,Lutecium,Lutecium,,[Xe],3,1,1656,5,3315,,,,(s),174.9668,1.1,La,6,,1907
